timestamp,mission_id,drone_id,altitude_m,velocity_x,velocity_y,velocity_z,acceleration_x,acceleration_y,acceleration_z,heading_deg,gps_lat,gps_lon,distance_to_base_m,battery_level_pct,power_consumption_watts,flight_time_s,mission_type,target_type,object_detected,hover_duration_s,camera_active,recording_mode,ambient_temp_C,wind_speed_mps,wind_dir_deg,weather_condition,region_type,proximity_to_restricted_zone_m,detected_object_count,average_object_size_px,thermal_signature_intensity,detection_confidence_avg,surveillance_pattern,accel_mag,vel_mag,accel_mean,accel_std,accel_rms,vel_mean,vel_std,vel_rms,time,accel_x_smooth,vel_fault,accel_fault,anomaly_score,fault,pred,test_pred,health_score,alert,status,health_smooth,anomaly_score_noisy,status_binary,anomaly_probability,prediction_label,actual,predicted,prediction,severity,health_status
2021-01-01 00:00:00,MSN2824,DR2,56,-3.0036200884378355,1.7451256117280902,-1.0126296074125465,-0.116718083713579,0.654639550058477,0.5919261689797418,257,32.51891959780309,73.42441393855226,1492,20,165.88369696224734,3793,Patrol,Vehicle,0,42,0,RGB,23.803053050475302,2.2735467520833685,240,Cloudy,Urban,30,2,45.220769922326646,107.92885423441844,0.5774655673741066,Patrol,0.8902542564287851,3.6183719762049256,,,0.5139885345963692,,,2.089068034490112,2021-01-01 00:00:00,,1,0,0.7671080922048114,0,1,1,23.289190779518865,🚨 CRITICAL ALERT,NORMAL,,4.055095508296548,NORMAL,0.11,NORMAL,NORMAL,ANOMALY,ANOMALY,WARNING, MODERATE
2021-01-01 00:15:00,MSN1409,DR3,112,0.8986773158716369,-6.052607800740039,0.0841814843494811,-0.4914435478707428,-1.1603912058251613,-0.9875377428290318,315,32.20389274809323,72.2304470138851,684,29,188.97007030246328,1834,Return,Vehicle,0,30,0,RGB,21.876292015421672,1.756862356855969,218,Clear,Forest,340,2,93.85732036359528,146.79476717053245,0.726128876702461,Patrol,1.6010169595641437,6.119539903452604,,,0.9243475725815145,,,3.5331180105750173,2021-01-01 00:15:00,,1,0,0.183422059547266,0,0,1,81.6577940452734,✅ NORMAL,WARNING,,8.194272025028376,ANOMALY,0.16,NORMAL,ANOMALY,ANOMALY,NORMAL,NORMAL, MODERATE
2021-01-01 00:30:00,MSN5506,DR6,87,-1.6420413935726552,0.6058548274995075,-2.6836894170432646,0.4101745142739433,-1.378733626572413,-0.9587636312944684,121,31.543682805743057,72.27234663562646,1014,38,123.27434790226472,131,Patrol,Vehicle,0,3,1,RGB,37.50242046790187,4.562560131060427,150,Cloudy,Coastal,69,1,68.6533907689096,109.34166054168494,0.8107542167928723,Circle,1.728692351430508,3.2039895282850885,,,0.998060994444451,,,1.8498242166361376,2021-01-01 00:30:00,,1,0,0.731153432896124,0,1,1,26.8846567103876,🚨 CRITICAL ALERT,NORMAL,,4.425877391158155,NORMAL,0.15,NORMAL,NORMAL,ANOMALY,ANOMALY,WARNING, MODERATE
2021-01-01 00:45:00,MSN5012,DR7,74,0.0419755650394654,-2.872026579389664,0.7184809178909489,0.4541855361642039,-0.6093608995621379,-1.8902757147994995,0,31.560893496873256,73.82420354082313,133,18,137.95046352567294,2985,Patrol,Human,1,3,1,RGB,28.387269559336435,1.7352251325546495,88,Clear,Urban,71,0,77.80277905554361,157.4316784888793,0.5122229242077355,Scan,2.0373383334970905,2.960829858359729,,,1.1762578352748887,,,1.7094359157486714,2021-01-01 00:45:00,,1,0,0.5371628886637875,1,0,1,46.28371113362125,⚠️ WARNING,WARNING,,5.050845699353542,ANOMALY,0.17,NORMAL,ANOMALY,ANOMALY,NORMAL,NORMAL, MODERATE
2021-01-01 01:00:00,MSN4657,DR6,40,6.469317247505494,0.0439590550500266,0.3617574591951387,-0.710856168919504,-2.772140966950575,0.3710065555022731,58,31.963063290348178,73.44709540416287,1723,22,80.33941381782097,234,Scan,Structure,0,33,1,RGB,26.22401860691264,0.3891823152280707,180,Clear,Forest,316,2,51.66768328786056,79.343379196344,0.8787312512268435,Scan,2.8857802927046,6.479573018855199,,,1.6661060288151175,,,3.740983226669885,2021-01-01 01:00:00,,1,1,0.1537569849235141,0,0,1,84.62430150764858,✅ NORMAL,WARNING,,9.514947588125503,ANOMALY,0.19,NORMAL,ANOMALY,ANOMALY,NORMAL,NORMAL, MODERATE
2021-01-01 01:15:00,MSN3286,DR9,40,0.3044915231159015,-0.633134613448091,-2.7362046409824137,0.5700141684644418,1.1237154309295492,0.2216867394539412,93,31.91231736962725,73.59831748481835,822,75,179.1730822522627,3345,Patrol,Structure,0,0,1,RGB,27.07408254243761,3.0493021273037435,83,Clear,Rural,603,1,118.89891562446016,115.78569969461878,0.8598907540156286,Patrol,1.279373882963503,2.8249584711512497,,,0.7386468557231552,,,1.6309905337686874,2021-01-01 01:15:00,,1,0,0.6646231951878828,0,0,1,33.53768048121172,⚠️ WARNING,NORMAL,,3.9387994047919896,NORMAL,0.15,NORMAL,NORMAL,ANOMALY,NORMAL,WARNING, MODERATE
2021-01-01 01:30:00,MSN2679,DR7,33,1.4355630954924488,5.567862074952185,-2.8039948550104645,0.6716533904939395,0.0218610228782712,-0.4565667338907475,204,32.84943152906741,73.2335809140494,1415,43,190.2301045399168,1010,Patrol,Human,0,11,1,RGB,29.291605352098788,2.970680301403606,80,Clear,Urban,401,0,81.57900524089118,83.18902501576068,0.5727549930318687,Patrol,0.8124342212012942,6.397211629589557,,,0.4690591163094311,,,3.693431856406535,2021-01-01 01:30:00,,1,0,0.1404318655651502,0,0,1,85.95681344348498,✅ NORMAL,WARNING,,6.792311997489116,ANOMALY,0.1,NORMAL,ANOMALY,ANOMALY,NORMAL,NORMAL, MODERATE
2021-01-01 01:45:00,MSN9935,DR6,102,-0.5035712972074695,-3.371441248312561,-2.0048183631786043,-0.1635798581639808,-0.8542066130395992,-0.1571065648736263,271,32.67265988740678,72.91087506578172,781,15,103.200174810408,1018,Scan,Human,1,16,1,Thermal,23.90407407551805,1.1014857515612044,94,Clear,Rural,307,3,59.38979640384403,109.8630399091259,0.3958050689625134,Patrol,0.8838041527872126,3.9546803678088462,,,0.5102645655226062,,,2.283235774913366,2021-01-01 01:45:00,,1,0,0.3907245000974981,1,0,1,60.927549990250185,✅ NORMAL,NORMAL,,4.263612531784274,NORMAL,0.1,NORMAL,NORMAL,ANOMALY,NORMAL,NORMAL, MODERATE
2021-01-01 02:00:00,MSN2424,DR5,74,-5.275965930900537,-3.580129416818327,-1.2193757002347532,0.6221970663640908,-1.3012593947937507,-1.1055548238090758,27,32.36122066204631,73.12789950874333,1937,22,172.40525285173135,2353,Scan,Human,1,34,1,RGB,24.58544560335968,1.3386578998342271,214,Clear,Rural,231,1,69.57753430997495,132.59732921698884,0.5842814536709162,Scan,1.817321289805024,6.491534506071281,,,1.0492309358729686,,,3.747889194533998,2021-01-01 02:00:00,,1,0,0.0137968488215281,0,0,1,98.62031511784718,✅ NORMAL,WARNING,,9.02983414106919,ANOMALY,0.15,NORMAL,ANOMALY,ANOMALY,NORMAL,NORMAL, GOOD
2021-01-01 02:15:00,MSN7912,DR8,85,-1.908389395045284,-5.279672733166415,2.017606618456739,-0.1880862501408434,-1.55437529224177,-0.9473522044873371,265,32.07566471968938,72.0895213718568,852,10,123.56248341445824,3153,Patrol,Human,0,55,0,RGB,18.267136462210736,1.8818718153769047,244,Rain,Urban,532,1,69.92010974140182,124.37564094557432,0.7858545876757983,Idle,1.8300096136279584,5.965536917939798,1.5766025354010118,0.6407854174879808,1.0565565430477049,4.801622617771828,1.6081172697419204,3.4442043454331928,2021-01-01 02:15:00,,1,0,0.13032174894919,1,0,1,86.96782510508099,✅ NORMAL,WARNING,,7.523237640268247,ANOMALY,0.2,ANOMALY,ANOMALY,ANOMALY,NORMAL,NORMAL, MODERATE
